GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ConsultaIbge,org.estudos.br,Main,97,0,6,0,37,0,8,0,4,0
ConsultaIbge,org.estudos.br,ConsultaIBGE,50,47,2,2,10,9,3,2,2,1
